,Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
1458,08/02/2021,31137,31,Phelps County,NE,29.0,2624,2624,34.4,2574,37.3,1115,58.3,88.7,,0.0,,0.0,,0.0,,0.0,Low,Low VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
1459,08/02/2021,21167,31,Mercer County,KY,43.2,9470,9470,50.6,9183,53.8,3374,81.5,93.4,10651.0,48.6,10650.0,56.9,10226.0,59.9,3598.0,86.9,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
1460,08/02/2021,53013,31,Columbia County,WA,35.0,1395,1395,39.6,1349,41.3,652,57.5,96.2,1587.0,39.8,1587.0,45.0,1539.0,47.1,760.0,67.0,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
1461,08/02/2021,12023,31,Columbia County,FL,28.9,20739,20739,33.7,20333,36.2,9053,65.6,98.6,24647.0,34.4,24640.0,40.1,23904.0,42.5,9784.0,70.9,High,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
1462,08/02/2021,47031,31,Coffee County,TN,32.1,18167,18166,38.1,17811,41.5,7484,76.1,97.8,21039.0,37.2,21029.0,44.2,20479.0,47.7,8222.0,83.6,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI
1463,08/02/2021,18125,31,Pike County,IN,46.4,5752,5752,54.0,5623,58.0,2385,93.9,98.6,6167.0,49.8,6166.0,57.8,5988.0,61.8,2472.0,97.3,Low,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
1464,08/02/2021,28015,31,Carroll County,MS,28.9,2877,2876,32.6,2824,34.9,1193,49.5,98.3,3297.0,33.1,3296.0,37.4,3207.0,39.6,1329.0,55.1,Mod-High,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
1465,08/02/2021,20147,31,Phillips County,KS,34.9,1826,1826,40.8,1813,44.6,887,68.3,93.4,2010.0,38.4,2010.0,44.9,1983.0,48.7,940.0,72.4,Low,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI
1466,08/02/2021,05003,31,Ashley County,AR,33.2,6522,6519,38.8,6397,41.9,2763,67.1,89.3,8061.0,41.0,8055.0,48.0,7790.0,51.1,3079.0,74.8,High,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI
1467,08/02/2021,33019,31,Sullivan County,NH,54.2,23397,23374,61.4,22488,64.0,8043,84.4,94.0,25870.0,60.0,25841.0,67.9,24705.0,70.3,8653.0,90.8,Low,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
